product_event_id,user_id,event_date,event_type
E_000001,U_000001,2022-06-21,export
E_000002,U_000001,2022-01-21,login
E_000003,U_000001,2022-04-15,settings_update
E_000004,U_000001,2023-09-15,settings_update
E_000005,U_000001,2023-12-27,feature_use
E_000006,U_000001,2023-05-14,login
E_000007,U_000001,2023-03-20,settings_update
E_000008,U_000001,2023-10-09,export
E_000009,U_000001,2024-06-19,login
E_000010,U_000001,2024-08-14,settings_update
E_000011,U_000002,2023-09-16,feature_use
E_000012,U_000002,2024-04-23,export
E_000013,U_000002,2023-11-01,feature_use
E_000014,U_000002,2022-10-08,feature_use
E_000015,U_000002,2022-11-02,api_call
E_000016,U_000002,2023-04-14,feature_use
E_000017,U_000002,2024-07-25,settings_update
E_000018,U_000002,2022-09-05,settings_update
E_000019,U_000002,2022-01-23,feature_use
E_000020,U_000002,2023-12-03,login
E_000021,U_000002,2022-09-26,feature_use
E_000022,U_000002,2024-05-26,api_call
E_000023,U_000002,2024-01-18,feature_use
E_000024,U_000002,2022-12-15,api_call
E_000025,U_000002,2023-08-08,settings_update
E_000026,U_000002,2022-07-30,feature_use
E_000027,U_000002,2022-08-31,feature_use
E_000028,U_000002,2022-10-30,export
E_000029,U_000002,2023-03-22,login
E_000030,U_000002,2023-06-23,settings_update
E_000031,U_000002,2024-02-22,settings_update
E_000032,U_000002,2023-10-03,api_call
E_000033,U_000002,2023-09-01,export
E_000034,U_000002,2022-06-24,feature_use
E_000035,U_000002,2022-09-25,feature_use
E_000036,U_000002,2022-04-27,api_call
E_000037,U_000002,2022-05-26,login
E_000038,U_000002,2023-06-03,feature_use
E_000039,U_000002,2023-12-23,api_call
E_000040,U_000002,2024-01-03,settings_update
E_000041,U_000002,2022-11-13,settings_update
E_000042,U_000002,2023-08-02,settings_update
E_000043,U_000002,2024-11-29,login
E_000044,U_000002,2023-12-25,settings_update
E_000045,U_000002,2022-05-06,api_call
E_000046,U_000002,2022-05-09,settings_update
E_000047,U_000002,2022-09-24,settings_update
E_000048,U_000002,2022-11-14,feature_use
E_000049,U_000002,2022-06-01,export
E_000050,U_000002,2022-12-04,api_call
E_000051,U_000002,2023-09-22,settings_update
E_000052,U_000002,2023-07-20,api_call
E_000053,U_000002,2024-05-07,export
E_000054,U_000002,2022-05-17,api_call
E_000055,U_000002,2023-04-28,login
E_000056,U_000002,2023-07-10,login
E_000057,U_000002,2022-05-03,settings_update
E_000058,U_000002,2024-12-14,api_call
E_000059,U_000002,2023-04-01,export
E_000060,U_000003,2022-07-20,settings_update
E_000061,U_000003,2024-11-07,export
E_000062,U_000003,2023-12-20,feature_use
E_000063,U_000003,2023-05-30,feature_use
E_000064,U_000003,2023-08-15,export
E_000065,U_000003,2022-10-22,export
E_000066,U_000003,2023-04-13,api_call
E_000067,U_000003,2024-11-10,login
E_000068,U_000003,2022-06-14,api_call
E_000069,U_000003,2022-04-23,settings_update
E_000070,U_000003,2023-02-26,settings_update
E_000071,U_000003,2024-08-04,settings_update
E_000072,U_000003,2024-08-20,login
E_000073,U_000003,2022-03-20,export
E_000074,U_000003,2022-01-19,settings_update
E_000075,U_000003,2023-11-14,feature_use
E_000076,U_000003,2023-01-04,login
E_000077,U_000003,2024-09-02,export
E_000078,U_000003,2024-08-05,export
E_000079,U_000003,2022-05-23,export
E_000080,U_000003,2024-04-07,settings_update
E_000081,U_000003,2024-01-27,export
E_000082,U_000003,2024-02-20,login
E_000083,U_000003,2024-10-12,api_call
E_000084,U_000003,2024-12-26,feature_use
E_000085,U_000003,2023-02-06,login
E_000086,U_000003,2023-08-20,export
E_000087,U_000003,2024-07-02,api_call
E_000088,U_000003,2022-08-30,login
E_000089,U_000003,2022-04-20,feature_use
E_000090,U_000004,2023-12-28,login
E_000091,U_000004,2023-08-28,export
E_000092,U_000004,2024-04-08,export
E_000093,U_000004,2023-09-01,login
E_000094,U_000004,2023-04-07,feature_use
E_000095,U_000004,2024-05-21,settings_update
E_000096,U_000004,2024-07-15,login
E_000097,U_000004,2024-09-17,settings_update
E_000098,U_000004,2023-04-26,feature_use
E_000099,U_000004,2024-01-25,settings_update
E_000100,U_000004,2024-04-10,export
E_000101,U_000004,2023-01-04,api_call
E_000102,U_000004,2022-05-18,export
E_000103,U_000004,2024-07-05,login
E_000104,U_000004,2022-08-15,api_call
E_000105,U_000004,2023-05-10,settings_update
E_000106,U_000005,2023-03-27,api_call
E_000107,U_000005,2024-04-11,export
E_000108,U_000005,2022-07-28,login
